clip_id,video_id,youtube_url,local_video_path,start_time,end_time,start_sec,end_sec,duration_sec,video_title,switch_density,notes
GH001,hHqksQ4bi-cu,https://www.youtube.com/watch?v=hHqksQ4bi-cu,data/raw_videos/hHqksQ4bi-cu.mp4,00:29:05,00:34:40,1745,2080,335,LIVE Abronye Hosted by KK On The Talk Ghana Political Show  10_11_25 - WONTUMI TV LIVE,medium,clear hand gestures and speaker's voice is very loud throughout
GH002,hHqksQ4bi-cu,https://www.youtube.com/watch?v=hHqksQ4bi-cu,data/raw_videos/hHqksQ4bi-cu.mp4,01:12:16,01:14:44,4336,4484,148,LIVE Abronye Hosted by KK On The Talk Ghana Political Show  10_11_25 - WONTUMI TV LIVE,medium,clear hand gestures and speaker's voice is very loud throughout
GH003,hHqksQ4bi-cu,https://www.youtube.com/watch?v=hHqksQ4bi-cu,data/raw_videos/hHqksQ4bi-cu.mp4,01:15:31,01:22:24,4531,4944,413,LIVE Abronye Hosted by KK On The Talk Ghana Political Show  10_11_25 - WONTUMI TV LIVE,medium,clear hand gestures and speaker's voice is very loud throughout
GH004,H6VxEARzpgw,https://www.youtube.com/watch?v=H6VxEARzpgw,data/raw_videos/H6VxEARzpgw.mp4,00:10:56,00:14:59,656,899,243,Great Betrayals In Ghana's History with Lawyer Anokye Frimpong on #MaxTV  #MaxAgenda - MAX TV GHANA,high,clear hand gestures
GH005,H6VxEARzpgw,https://www.youtube.com/watch?v=H6VxEARzpgw,data/raw_videos/H6VxEARzpgw.mp4,00:15:48,00:17:52,948,1072,124,Great Betrayals In Ghana's History with Lawyer Anokye Frimpong on #MaxTV  #MaxAgenda - MAX TV GHANA,high,clear hand gestures
GH006,H6VxEARzpgw,https://www.youtube.com/watch?v=H6VxEARzpgw,data/raw_videos/H6VxEARzpgw.mp4,00:18:17,00:21:12,1097,1272,175,Great Betrayals In Ghana's History with Lawyer Anokye Frimpong on #MaxTV  #MaxAgenda - MAX TV GHANA,high,clear hand gestures
GH007,H6VxEARzpgw,https://www.youtube.com/watch?v=H6VxEARzpgw,data/raw_videos/H6VxEARzpgw.mp4,00:36:21,00:41:06,2181,2466,285,Great Betrayals In Ghana's History with Lawyer Anokye Frimpong on #MaxTV  #MaxAgenda - MAX TV GHANA,high,clear hand gestures
GH008,QyvbRafz67g,https://www.youtube.com/watch?v=QyvbRafz67g,data/raw_videos/QyvbRafz67g.mp4,00:00:30,00:10:30,30.0,630.0,600.0,'BORN TO WIN' MOTHER GHANA (TWI_AKAN LANGUAGE - Dr. Beatrice Nana Ofosuah,high,clear hand gestures
GH009,QyvbRafz67g,https://www.youtube.com/watch?v=QyvbRafz67g,data/raw_videos/QyvbRafz67g.mp4,00:10:31,00:20:31,631.0,1231.0,600.0,'BORN TO WIN' MOTHER GHANA (TWI_AKAN LANGUAGE - Dr. Beatrice Nana Ofosuah,high,clear hand gestures
GH010,A6Yvnswg4DI,https://www.youtube.com/watch?v=A6Yvnswg4DI,data/raw_videos/A6Yvnswg4DI.mp4,00:01:30,00:10:08,90.0,608.0,518.0,'okatakiye afrifa live exposed kevin talor and ann sansa daly randy abbey. dormahene - OKATAKYIE AFRIFA RECORDS TV,high,clear hand gestures
GH011,A6Yvnswg4DI,https://www.youtube.com/watch?v=A6Yvnswg4DI,data/raw_videos/A6Yvnswg4DI.mp4,01:04:38,01:12:23,3878.0,4343.0,465.0,'okatakiye afrifa live exposed kevin talor and ann sansa daly randy abbey. dormahene - OKATAKYIE AFRIFA RECORDS TV,high,clear hand gestures